year,variable,value,type,var
2003,France,0.228716648653826,Increasing_TWS,tws
2004,France,0.210703829384815,Increasing_TWS,tws
2005,France,-0.36894447804257,Increasing_TWS,tws
2006,France,-0.0351589034816145,Increasing_TWS,tws
2007,France,0.0896552307616756,Increasing_TWS,tws
2008,France,0.338629063950558,Increasing_TWS,tws
2009,France,-0.234884743276458,Increasing_TWS,tws
2010,France,0.0426365578222528,Increasing_TWS,tws
2011,France,-0.298881705714331,Increasing_TWS,tws
2012,France,-0.22164165839749,Increasing_TWS,tws
2013,France,0.63105552195743,Increasing_TWS,tws
2014,France,0.370041807982128,Increasing_TWS,tws
2015,France,0.0293352515104671,Increasing_TWS,tws
2016,France,0.580648874147389,Increasing_TWS,tws
2003,Netherlands,0.0474382790118382,Increasing_TWS,tws
2004,Netherlands,0.0566847425438103,Increasing_TWS,tws
2005,Netherlands,-0.0422356111735485,Increasing_TWS,tws
2006,Netherlands,-0.0507241200115752,Increasing_TWS,tws
2007,Netherlands,0.224850982461421,Increasing_TWS,tws
2008,Netherlands,0.159939432134205,Increasing_TWS,tws
2009,Netherlands,-0.348515424303766,Increasing_TWS,tws
2010,Netherlands,-0.302115542509453,Increasing_TWS,tws
2011,Netherlands,-0.00419877546524536,Increasing_TWS,tws
2012,Netherlands,0.0471484854171636,Increasing_TWS,tws
2013,Netherlands,0.10856679495152,Increasing_TWS,tws
2014,Netherlands,0.015635021972735,Increasing_TWS,tws
2015,Netherlands,-0.00745978867190076,Increasing_TWS,tws
2016,Netherlands,0.651484575696234,Increasing_TWS,tws
2003,Spain,0.495035879329593,Increasing_TWS,tws
2004,Spain,0.532595414180467,Increasing_TWS,tws
2005,Spain,-0.183464725159674,Increasing_TWS,tws
2006,Spain,-0.00890171095955449,Increasing_TWS,tws
2007,Spain,-0.000385989186724604,Increasing_TWS,tws
2008,Spain,-0.162845913668234,Increasing_TWS,tws
2009,Spain,-0.176997074593632,Increasing_TWS,tws
2010,Spain,0.783238359405158,Increasing_TWS,tws
2011,Spain,0.403586091678359,Increasing_TWS,tws
2012,Spain,-0.00151020338096338,Increasing_TWS,tws
2013,Spain,0.816535274840326,Increasing_TWS,tws
2014,Spain,0.442623601128061,Increasing_TWS,tws
2015,Spain,0.471504611506435,Increasing_TWS,tws
2016,Spain,0.79612385082925,Increasing_TWS,tws
2003,Sweden,-0.395334900621337,Increasing_TWS,tws
2004,Sweden,-0.256527682981426,Increasing_TWS,tws
2005,Sweden,0.0969672290933134,Increasing_TWS,tws
2006,Sweden,-0.175768592326183,Increasing_TWS,tws
2007,Sweden,0.205552306732371,Increasing_TWS,tws
2008,Sweden,0.0985963228744169,Increasing_TWS,tws
2009,Sweden,0.0311804163942882,Increasing_TWS,tws
2010,Sweden,-0.0698407869723552,Increasing_TWS,tws
2011,Sweden,0.165442687138762,Increasing_TWS,tws
2012,Sweden,0.573765913337965,Increasing_TWS,tws
2013,Sweden,0.144938304942724,Increasing_TWS,tws
2014,Sweden,0.0993720475195782,Increasing_TWS,tws
2015,Sweden,0.604665099378663,Increasing_TWS,tws
2016,Sweden,0.304951279891217,Increasing_TWS,tws
2003,Bosnia.and.Herzegovina,-0.197695076906011,Declining_TWS,tws
2004,Bosnia.and.Herzegovina,-0.0335232357754054,Declining_TWS,tws
2005,Bosnia.and.Herzegovina,0.331129652665027,Declining_TWS,tws
2006,Bosnia.and.Herzegovina,0.349370683227473,Declining_TWS,tws
2007,Bosnia.and.Herzegovina,-0.25255243121054,Declining_TWS,tws
2008,Bosnia.and.Herzegovina,-0.179116378862815,Declining_TWS,tws
2009,Bosnia.and.Herzegovina,-0.215308285203859,Declining_TWS,tws
2010,Bosnia.and.Herzegovina,0.304317055172918,Declining_TWS,tws
2011,Bosnia.and.Herzegovina,-0.231582845939541,Declining_TWS,tws
2012,Bosnia.and.Herzegovina,-0.650629316772527,Declining_TWS,tws
2013,Bosnia.and.Herzegovina,-0.293999486708316,Declining_TWS,tws
2014,Bosnia.and.Herzegovina,-0.119465204609446,Declining_TWS,tws
2015,Bosnia.and.Herzegovina,-0.156432075086343,Declining_TWS,tws
2016,Bosnia.and.Herzegovina,0.159727856157999,Declining_TWS,tws
2003,Lebanon,0.160093382542643,Declining_TWS,tws
2004,Lebanon,0.341325129338099,Declining_TWS,tws
2005,Lebanon,0.163193970535717,Declining_TWS,tws
2006,Lebanon,0.152017514066666,Declining_TWS,tws
2007,Lebanon,-0.0377389563834573,Declining_TWS,tws
2008,Lebanon,-0.312254945700176,Declining_TWS,tws
2009,Lebanon,-0.306542714104126,Declining_TWS,tws
2010,Lebanon,-0.210363168191899,Declining_TWS,tws
2011,Lebanon,-0.420999495540178,Declining_TWS,tws
2012,Lebanon,-0.28055381975247,Declining_TWS,tws
2013,Lebanon,-0.305012539148382,Declining_TWS,tws
2014,Lebanon,-0.576213327585654,Declining_TWS,tws
2015,Lebanon,-0.556516851991102,Declining_TWS,tws
2016,Lebanon,-0.658674870661901,Declining_TWS,tws
2003,Pakistan,0.183758408034134,Declining_TWS,tws
2004,Pakistan,-0.461747547165671,Declining_TWS,tws
2005,Pakistan,0.439396578888065,Declining_TWS,tws
2006,Pakistan,0.0863753652694391,Declining_TWS,tws
2007,Pakistan,0.26709960574924,Declining_TWS,tws
2008,Pakistan,-0.143991439392463,Declining_TWS,tws
2009,Pakistan,-0.18713256212495,Declining_TWS,tws
2010,Pakistan,-0.258037371238695,Declining_TWS,tws
2011,Pakistan,-0.0307241979839337,Declining_TWS,tws
2012,Pakistan,-0.367159426927633,Declining_TWS,tws
2013,Pakistan,-0.444004293481926,Declining_TWS,tws
2014,Pakistan,-0.525343453279642,Declining_TWS,tws
2015,Pakistan,-0.107561376307392,Declining_TWS,tws
2016,Pakistan,-0.560603421111935,Declining_TWS,tws
2003,Tunisia,-0.0320782529049159,Declining_TWS,tws
2004,Tunisia,0.0997839941079718,Declining_TWS,tws
2005,Tunisia,-0.0300921089948534,Declining_TWS,tws
2006,Tunisia,0.198529999040073,Declining_TWS,tws
2007,Tunisia,-0.0206938692549358,Declining_TWS,tws
2008,Tunisia,-0.228101635592219,Declining_TWS,tws
2009,Tunisia,-0.0194263803766264,Declining_TWS,tws
2010,Tunisia,-0.139596708958817,Declining_TWS,tws
2011,Tunisia,-0.402787212192965,Declining_TWS,tws
2012,Tunisia,-0.508810053479114,Declining_TWS,tws
2013,Tunisia,-0.611679918366535,Declining_TWS,tws
2014,Tunisia,-0.709909419369533,Declining_TWS,tws
2015,Tunisia,-0.801470000959927,Declining_TWS,tws
2016,Tunisia,-0.766157774391881,Declining_TWS,tws
2003,Xinjiang,0.210366479804879,Declining_TWS,tws
2004,Xinjiang,0.160131811228397,Declining_TWS,tws
2005,Xinjiang,0.337509688852079,Declining_TWS,tws
2006,Xinjiang,0.280257014579076,Declining_TWS,tws
2007,Xinjiang,-0.0439563947734091,Declining_TWS,tws
2008,Xinjiang,-0.341265507209251,Declining_TWS,tws
2009,Xinjiang,-0.392676612698945,Declining_TWS,tws
2010,Xinjiang,-0.0613317044436646,Declining_TWS,tws
2011,Xinjiang,-0.0142072386771173,Declining_TWS,tws
2012,Xinjiang,-0.069615230807736,Declining_TWS,tws
2013,Xinjiang,-0.358877746360514,Declining_TWS,tws
2014,Xinjiang,-0.662490311147921,Declining_TWS,tws
2015,Xinjiang,-0.536950208454558,Declining_TWS,tws
2016,Xinjiang,-0.358464996641574,Declining_TWS,tws
2003,France,0.594472905778983,Increasing_TWS,freshwater_withdraw
2004,France,0.405071746537975,Increasing_TWS,freshwater_withdraw
2005,France,0.418890460776524,Increasing_TWS,freshwater_withdraw
2006,France,0.270499849631957,Increasing_TWS,freshwater_withdraw
2007,France,0.142146088278141,Increasing_TWS,freshwater_withdraw
2008,France,-0.105848405519026,Increasing_TWS,freshwater_withdraw
2009,France,-0.0629310176042944,Increasing_TWS,freshwater_withdraw
2010,France,-0.203014025263185,Increasing_TWS,freshwater_withdraw
2011,France,-0.205579160204211,Increasing_TWS,freshwater_withdraw
2012,France,-0.0153899780660919,Increasing_TWS,freshwater_withdraw
2013,France,-0.26041259320342,Increasing_TWS,freshwater_withdraw
2014,France,-0.345040310701907,Increasing_TWS,freshwater_withdraw
2015,France,-0.22733846622043,Increasing_TWS,freshwater_withdraw
2016,France,-0.405527094221017,Increasing_TWS,freshwater_withdraw
2003,Netherlands,0.0518374548313671,Increasing_TWS,freshwater_withdraw
2004,Netherlands,0.333888167237856,Increasing_TWS,freshwater_withdraw
2005,Netherlands,0.295215831908093,Increasing_TWS,freshwater_withdraw
2006,Netherlands,0.162200527249423,Increasing_TWS,freshwater_withdraw
2007,Netherlands,0.135426842301461,Increasing_TWS,freshwater_withdraw
2008,Netherlands,0.0701812764435926,Increasing_TWS,freshwater_withdraw
2009,Netherlands,0.260591693409664,Increasing_TWS,freshwater_withdraw
2010,Netherlands,0.130693457146157,Increasing_TWS,freshwater_withdraw
2011,Netherlands,-0.0705356005439202,Increasing_TWS,freshwater_withdraw
2012,Netherlands,0.0786055857425961,Increasing_TWS,freshwater_withdraw
2013,Netherlands,0.0515476186024167,Increasing_TWS,freshwater_withdraw
2014,Netherlands,-0.281740493516508,Increasing_TWS,freshwater_withdraw
2015,Netherlands,-0.551800528050052,Increasing_TWS,freshwater_withdraw
2016,Netherlands,-0.666111832762144,Increasing_TWS,freshwater_withdraw
2003,Spain,0.2691971588682,Increasing_TWS,freshwater_withdraw
2004,Spain,0.192183111231357,Increasing_TWS,freshwater_withdraw
2005,Spain,0.481918101983155,Increasing_TWS,freshwater_withdraw
2006,Spain,0.229077997052647,Increasing_TWS,freshwater_withdraw
2007,Spain,0.116863331459464,Increasing_TWS,freshwater_withdraw
2008,Spain,0.0871454338183134,Increasing_TWS,freshwater_withdraw
2009,Spain,0.198438960484422,Increasing_TWS,freshwater_withdraw
2010,Spain,0.0777842960613511,Increasing_TWS,freshwater_withdraw
2011,Spain,0.0420305314467408,Increasing_TWS,freshwater_withdraw
2012,Spain,-0.0709497191959989,Increasing_TWS,freshwater_withdraw
2013,Spain,-0.36259983082675,Increasing_TWS,freshwater_withdraw
2014,Spain,-0.277878574223635,Increasing_TWS,freshwater_withdraw
2015,Spain,-0.465128900142419,Increasing_TWS,freshwater_withdraw
2016,Spain,-0.518081898016845,Increasing_TWS,freshwater_withdraw
2003,Sweden,0.13826998689384,Increasing_TWS,freshwater_withdraw
2004,Sweden,0.13826998689384,Increasing_TWS,freshwater_withdraw
2005,Sweden,0.035058977719528,Increasing_TWS,freshwater_withdraw
2006,Sweden,0.035058977719528,Increasing_TWS,freshwater_withdraw
2007,Sweden,0.035058977719528,Increasing_TWS,freshwater_withdraw
2008,Sweden,0.172673656618611,Increasing_TWS,freshwater_withdraw
2009,Sweden,0.310288335517693,Increasing_TWS,freshwater_withdraw
2010,Sweden,0.447903014416776,Increasing_TWS,freshwater_withdraw
2011,Sweden,0.247903014416776,Increasing_TWS,freshwater_withdraw
2012,Sweden,0.0479030144167755,Increasing_TWS,freshwater_withdraw
2013,Sweden,-0.152096985583224,Increasing_TWS,freshwater_withdraw
2014,Sweden,-0.352096985583225,Increasing_TWS,freshwater_withdraw
2015,Sweden,-0.552096985583224,Increasing_TWS,freshwater_withdraw
2016,Sweden,-0.552096985583224,Increasing_TWS,freshwater_withdraw
2003,Bosnia.and.Herzegovina,-0.472525621902517,Declining_TWS,freshwater_withdraw
2004,Bosnia.and.Herzegovina,-0.425034884280422,Declining_TWS,freshwater_withdraw
2005,Bosnia.and.Herzegovina,-0.377544146658327,Declining_TWS,freshwater_withdraw
2006,Bosnia.and.Herzegovina,-0.330053409036232,Declining_TWS,freshwater_withdraw
2007,Bosnia.and.Herzegovina,-0.282562671414136,Declining_TWS,freshwater_withdraw
2008,Bosnia.and.Herzegovina,-0.120555261511812,Declining_TWS,freshwater_withdraw
2009,Bosnia.and.Herzegovina,0.041452148390511,Declining_TWS,freshwater_withdraw
2010,Bosnia.and.Herzegovina,0.203459558292835,Declining_TWS,freshwater_withdraw
2011,Bosnia.and.Herzegovina,0.365466968195159,Declining_TWS,freshwater_withdraw
2012,Bosnia.and.Herzegovina,0.527474378097483,Declining_TWS,freshwater_withdraw
2013,Bosnia.and.Herzegovina,0.403526921041235,Declining_TWS,freshwater_withdraw
2014,Bosnia.and.Herzegovina,0.279579463984988,Declining_TWS,freshwater_withdraw
2015,Bosnia.and.Herzegovina,0.15563200692874,Declining_TWS,freshwater_withdraw
2016,Bosnia.and.Herzegovina,0.0316845498724917,Declining_TWS,freshwater_withdraw
2003,Lebanon,-0.409678900039642,Declining_TWS,freshwater_withdraw
2004,Lebanon,-0.401500135617267,Declining_TWS,freshwater_withdraw
2005,Lebanon,-0.393321371194892,Declining_TWS,freshwater_withdraw
2006,Lebanon,-0.385142606772518,Declining_TWS,freshwater_withdraw
2007,Lebanon,-0.376963842350143,Declining_TWS,freshwater_withdraw
2008,Lebanon,-0.246249660956832,Declining_TWS,freshwater_withdraw
2009,Lebanon,-0.115535479563521,Declining_TWS,freshwater_withdraw
2010,Lebanon,0.0151787018297899,Declining_TWS,freshwater_withdraw
2011,Lebanon,0.145892883223101,Declining_TWS,freshwater_withdraw
2012,Lebanon,0.276607064616412,Declining_TWS,freshwater_withdraw
2013,Lebanon,0.355035573452398,Declining_TWS,freshwater_withdraw
2014,Lebanon,0.433464082288385,Declining_TWS,freshwater_withdraw
2015,Lebanon,0.511892591124371,Declining_TWS,freshwater_withdraw
2016,Lebanon,0.590321099960358,Declining_TWS,freshwater_withdraw
2003,Pakistan,-0.439353099730458,Declining_TWS,freshwater_withdraw
2004,Pakistan,-0.373315363881401,Declining_TWS,freshwater_withdraw
2005,Pakistan,-0.307277628032345,Declining_TWS,freshwater_withdraw
2006,Pakistan,-0.241239892183288,Declining_TWS,freshwater_withdraw
2007,Pakistan,-0.175202156334232,Declining_TWS,freshwater_withdraw
2008,Pakistan,-0.118598382749326,Declining_TWS,freshwater_withdraw
2009,Pakistan,-0.0619946091644203,Declining_TWS,freshwater_withdraw
2010,Pakistan,-0.00539083557951463,Declining_TWS,freshwater_withdraw
2011,Pakistan,0.051212938005391,Declining_TWS,freshwater_withdraw
2012,Pakistan,0.107816711590297,Declining_TWS,freshwater_withdraw
2013,Pakistan,0.221024258760108,Declining_TWS,freshwater_withdraw
2014,Pakistan,0.334231805929919,Declining_TWS,freshwater_withdraw
2015,Pakistan,0.447439353099731,Declining_TWS,freshwater_withdraw
2016,Pakistan,0.560646900269542,Declining_TWS,freshwater_withdraw
2003,Tunisia,-0.312588190020097,Declining_TWS,freshwater_withdraw
2004,Tunisia,-0.303608842519348,Declining_TWS,freshwater_withdraw
2005,Tunisia,-0.2946294950186,Declining_TWS,freshwater_withdraw
2006,Tunisia,-0.285650147517852,Declining_TWS,freshwater_withdraw
2007,Tunisia,-0.276670800017104,Declining_TWS,freshwater_withdraw
2008,Tunisia,-0.207649548894685,Declining_TWS,freshwater_withdraw
2009,Tunisia,-0.138628297772267,Declining_TWS,freshwater_withdraw
2010,Tunisia,-0.0696070466498482,Declining_TWS,freshwater_withdraw
2011,Tunisia,-0.000585795527429955,Declining_TWS,freshwater_withdraw
2012,Tunisia,0.0684354555949886,Declining_TWS,freshwater_withdraw
2013,Tunisia,0.223179544191217,Declining_TWS,freshwater_withdraw
2014,Tunisia,0.377923632787446,Declining_TWS,freshwater_withdraw
2015,Tunisia,0.532667721383675,Declining_TWS,freshwater_withdraw
2016,Tunisia,0.687411809979903,Declining_TWS,freshwater_withdraw
2003,Xinjiang,-0.429935407066052,Declining_TWS,freshwater_withdraw
2004,Xinjiang,-0.468645084485407,Declining_TWS,freshwater_withdraw
2005,Xinjiang,-0.346064439324117,Declining_TWS,freshwater_withdraw
2006,Xinjiang,-0.289827880184332,Declining_TWS,freshwater_withdraw
2007,Xinjiang,-0.24670960061444,Declining_TWS,freshwater_withdraw
2008,Xinjiang,-0.134021428571429,Declining_TWS,freshwater_withdraw
2009,Xinjiang,-0.105096697388632,Declining_TWS,freshwater_withdraw
2010,Xinjiang,-0.0600429339477727,Declining_TWS,freshwater_withdraw
2011,Xinjiang,-0.0603020737327189,Declining_TWS,freshwater_withdraw
2012,Xinjiang,0.531354915514593,Declining_TWS,freshwater_withdraw
2013,Xinjiang,0.508774270353303,Declining_TWS,freshwater_withdraw
2014,Xinjiang,0.442107603686636,Declining_TWS,freshwater_withdraw
2015,Xinjiang,0.392645238095238,Declining_TWS,freshwater_withdraw
2016,Xinjiang,0.265763517665131,Declining_TWS,freshwater_withdraw
