country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belgium,3.17382E+11,3.68537E+11,3.85571E+11,4.07918E+11,4.70324E+11,5.15224E+11,4.81346E+11,4.80952E+11,5.22646E+11,4.96181E+11,5.21643E+11,5.34678E+11,4.6215E+11,4.7574E+11
Denmark,2.18096E+11,2.51373E+11,2.64467E+11,2.82885E+11,3.19423E+11,3.53361E+11,3.21241E+11,3.21995E+11,3.44003E+11,3.27149E+11,3.43584E+11,3.52994E+11,3.02673E+11,3.13116E+11
Greece,2.01924E+11,2.40521E+11,2.47783E+11,2.73318E+11,3.18498E+11,3.54461E+11,3.3E+11,2.96835E+11,2.82626E+11,2.42054E+11,2.38484E+11,2.35295E+11,1.95318E+11,1.92732E+11
Poland,2.1783E+11,2.5511E+11,3.0614E+11,3.4462E+11,4.2903E+11,5.3361E+11,4.3974E+11,4.7983E+11,5.283E+11,4.9852E+11,5.2102E+11,5.4248E+11,4.7781E+11,4.7263E+11
Israel,1.2733E+11,1.35728E+11,1.42661E+11,1.54158E+11,1.79068E+11,2.16339E+11,2.07499E+11,2.34E+11,2.61014E+11,2.57173E+11,2.92693E+11,3.10048E+11,3.00122E+11,3.18617E+11
Slovenia,29634713641,34414784504,36206395971,39481045038,48006372844,55552509155,50368056405,48161250405,51516366655,46580457470,48401896808,49930685013,43090173395,44736333522
Georgia,3991284895,5125365192,6410823633,7745394293,10172882371,12795076469,10766836277,12243505583,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567
Iraq,21921569479,36627901762,49954890353,65140147197,88837055195,1.31614E+11,1.11658E+11,1.38517E+11,1.8575E+11,2.18002E+11,2.34638E+11,2.28416E+11,1.66774E+11,1.66602E+11
Kyrgyzstan,1919008090,2211534585,2460248026,2834168889,3802566171,5139957785,4690062255,4794357795,6197766119,6605139933,7335027592,7468096567,6678178340,6813092066
Kazakhstan,30833699703,43151647003,57123671734,81003884545,1.0485E+11,1.33442E+11,1.15309E+11,1.48047E+11,1.92627E+11,2.07999E+11,2.36635E+11,2.21416E+11,1.84388E+11,1.37278E+11
Moldova,1980907435,2598249556,2988348836,3408244549,4401189466,6054849885,5439422031,6974960345,8414360656,8709165249,9496684701,9510219299,7745231660,8071480541
Montenegro,1707710053,2073234418,2257174481,2721903149,3680711744,4545674528,4159330370,4143033276,4544516982,4087725813,4466040643,4594024180,4054712083,4377033429
Syria,21828144686,25086930693,28858965517,33332844575,40405006007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,1555301496,2076182461,2312327536,2830220713,3719506173,5161337336,4979481980,5642178580,6522732203,7633049792,8448469838,9112544556,8271454301,6992393787
Ukraine,50084197498,64819702952,86057915585,1.07648E+11,1.4258E+11,1.79817E+11,1.17113E+11,1.36013E+11,1.6316E+11,1.75781E+11,1.8331E+11,1.33503E+11,91030959455,93355993629